订单号,商品名称,实付款,下单时间,店铺名称,订单状态
2024011500001,Apple iPhone 15,5999,2024-01-15 10:23:45,Apple官方旗舰店,交易成功
2024011500002,小米手环8,299,2024-01-15 14:56:12,小米官方旗舰店,交易成功
2024011600003,优衣库羽绒服,599,2024-01-16 09:12:33,优衣库官方旗舰店,交易成功
2024011700004,三只松鼠坚果礼盒,128,2024-01-17 16:45:21,三只松鼠旗舰店,交易成功
2024011800005,戴尔笔记本电脑,6500,2024-01-18 11:30:00,戴尔官方旗舰店,交易成功
2024011900006,耐克运动鞋,589,2024-01-19 15:20:18,耐克官方旗舰店,交易成功
2024012000007,星巴克咖啡券,200,2024-01-20 08:45:30,星巴克官方店,交易成功
2024012100008,海飞丝洗发水,89,2024-01-21 19:30:45,宝洁官方旗舰店,交易成功
2024012200009,华为荣耀手机,2999,2024-01-22 13:15:22,华为官方旗舰店,交易成功
2024012300010,阿迪达斯外套,799,2024-01-23 10:05:18,阿迪达斯官方旗舰店,交易成功
2024012400011,kindle电子书阅读器,658,2024-01-24 14:22:09,亚马逊官方旗舰店,交易成功
2024012500012,蒙牛牛奶礼盒,158,2024-01-25 09:48:33,蒙牛官方旗舰店,交易成功
2024012600013,无印良品收纳盒,129,2024-01-26 16:12:45,无印良品官方旗舰店,交易成功
2024012700014,苹果AirPods耳机,1399,2024-01-27 11:35:20,Apple官方旗舰店,交易成功
2024012800015,李宁运动裤,399,2024-01-28 13:50:11,李宁官方旗舰店,交易成功
2024012900016,雅诗兰黛面霜,680,2024-01-29 10:20:33,雅诗兰黛官方旗舰店,交易成功
2024013000017,德芙巧克力礼盒,168,2024-01-30 15:45:28,德芙官方旗舰店,交易成功
2024013100018,宜家台灯,199,2024-01-31 09:30:15,宜家官方旗舰店,交易成功
2024020100019,森马卫衣,259,2024-02-01 14:15:42,森马官方旗舰店,交易成功
2024020200020,良品铺子零食,98,2024-02-02 16:30:21,良品铺子旗舰店,交易成功
2024020300021,小米充电宝,149,2024-02-03 10:45:33,小米官方旗舰店,交易成功
2024020400022,百草味坚果,118,2024-02-04 13:20:18,百草味旗舰店,交易成功
2024020500023,Nike Air Max,899,2024-02-05 09:55:40,耐克官方旗舰店,交易成功
2024020600024,华为手表,1999,2024-02-06 15:10:25,华为官方旗舰店,交易成功
2024020700025,太平鸟羽绒服,699,2024-02-07 11:40:12,太平鸟官方旗舰店,交易成功
2024020800026,稻香村糕点,88,2024-02-08 14:25:33,稻香村旗舰店,交易成功
2024020900027,索尼耳机,799,2024-02-09 10:15:20,索尼官方旗舰店,交易成功
2024021000028,ZARA连衣裙,499,2024-02-10 16:50:11,ZARA官方旗舰店,交易成功
2024021100029,乐高积木,599,2024-02-11 09:30:45,乐高官方旗舰店,交易成功
2024021200030,欧莱雅护肤套装,558,2024-02-12 13:15:28,欧莱雅官方旗舰店,交易成功
2024021300031,海尔电饭煲,399,2024-02-13 10:40:15,海尔官方旗舰店,交易成功
2024021400032,膳魔师保温杯,258,2024-02-14 15:25:42,膳魔师旗舰店,交易成功
2024021500033,小米空气净化器,899,2024-02-15 11:50:21,小米官方旗舰店,交易成功
2024021600034,周黑鸭卤味,78,2024-02-16 14:35:33,周黑鸭旗舰店,交易成功
2024021700035,361度运动鞋,399,2024-02-17 09:20:18,361度官方旗舰店,交易成功
2024021800036,科沃斯扫地机器人,1699,2024-02-18 16:05:40,科沃斯官方旗舰店,交易成功
2024021900037,江中健胃消食片,39,2024-02-19 10:50:25,江中药业旗舰店,交易成功
2024022000038,美的电饭锅,329,2024-02-20 13:35:12,美的官方旗舰店,交易成功
2024022100039,安踏运动服,459,2024-02-21 09:45:33,安踏官方旗舰店,交易成功
2024022200040,百雀羚护肤品,188,2024-02-22 15:20:20,百雀羚旗舰店,交易成功
2024022300041,罗技鼠标,159,2024-02-23 11:10:11,罗技官方旗舰店,交易成功
2024022400042,匡威帆布鞋,459,2024-02-24 14:55:28,匡威官方旗舰店,交易成功
2024022500043,费列罗巧克力,138,2024-02-25 10:30:15,费列罗旗舰店,交易成功
2024022600044,海底捞火锅底料,58,2024-02-26 16:15:42,海底捞官方旗舰店,交易成功
2024022700045,联想键盘,199,2024-02-27 09:40:21,联想官方旗舰店,交易成功
2024022800046,名创优品香薰,69,2024-02-28 13:25:33,名创优品官方旗舰店,交易成功
2024022900047,小米蓝牙音箱,299,2024-02-29 11:50:18,小米官方旗舰店,交易成功
2024030100048,HM短袖T恤,99,2024-03-01 15:35:40,HM官方旗舰店,交易成功
2024030200049,元气森林饮料,68,2024-03-02 10:20:25,元气森林旗舰店,交易成功
2024030300050,蔻驰钱包,1299,2024-03-03 14:05:12,Coach官方旗舰店,交易成功
2024030400051,飞利浦电动牙刷,399,2024-03-04 09:50:33,飞利浦官方旗舰店,交易成功
2024030500052,特仑苏牛奶,98,2024-03-05 16:35:20,特仑苏旗舰店,交易成功
2024030600053,戴森吹风机,2690,2024-03-06 11:20:11,戴森官方旗舰店,交易成功
2024030700054,GU休闲裤,199,2024-03-07 13:45:28,GU官方旗舰店,交易成功
2024030800055,王老吉凉茶,48,2024-03-08 10:30:15,王老吉旗舰店,交易成功
2024030900056,三星固态硬盘,599,2024-03-09 15:15:42,三星官方旗舰店,交易成功
2024031000057,优衣库T恤,79,2024-03-10 09:00:21,优衣库官方旗舰店,交易成功
2024031100058,卫龙辣条礼盒,59,2024-03-11 14:45:33,卫龙官方旗舰店,交易成功
2024031200059,小度智能音箱,299,2024-03-12 11:30:18,百度官方旗舰店,交易成功
2024031300060,李子柒螺蛳粉,39,2024-03-13 16:15:40,李子柒旗舰店,交易成功
2024031400061,新秀丽行李箱,899,2024-03-14 10:00:25,新秀丽官方旗舰店,交易成功
2024031500062,雀巢咖啡,88,2024-03-15 13:45:12,雀巢官方旗舰店,交易成功
2024031600063,松下电吹风,359,2024-03-16 09:30:33,松下官方旗舰店,交易成功
2024031700064,Gap牛仔裤,399,2024-03-17 15:15:20,Gap官方旗舰店,交易成功
2024031800065,绿箭口香糖,18,2024-03-18 11:00:11,绿箭官方旗舰店,交易成功
2024031900066,博朗剃须刀,799,2024-03-19 14:45:28,博朗官方旗舰店,交易成功
2024032000067,江南布衣连衣裙,799,2024-03-20 10:30:15,江南布衣旗舰店,交易成功
2024032100068,喜茶代金券,100,2024-03-21 16:15:42,喜茶官方店,交易成功
2024032200069,JBL蓝牙耳机,499,2024-03-22 09:00:21,JBL官方旗舰店,交易成功
2024032300070,森马牛仔裤,199,2024-03-23 13:45:33,森马官方旗舰店,交易成功
2024032400071,洽洽瓜子,35,2024-03-24 11:30:18,洽洽官方旗舰店,交易成功
2024032500072,罗技键盘,299,2024-03-25 15:15:40,罗技官方旗舰店,交易成功
2024032600073,伊利牛奶,72,2024-03-26 10:00:25,伊利官方旗舰店,交易成功
2024032700074,施华洛世奇项链,899,2024-03-27 14:45:12,施华洛世奇旗舰店,交易成功
2024032800075,波司登羽绒服,1299,2024-03-28 09:30:33,波司登官方旗舰店,交易成功
2024032900076,康师傅方便面,48,2024-03-29 16:15:20,康师傅旗舰店,交易成功
2024033000077,小米路由器,199,2024-03-30 11:00:11,小米官方旗舰店,交易成功
2024033100078,良品铺子鸭脖,59,2024-03-31 13:45:28,良品铺子旗舰店,交易成功
2024040100079,阿玛尼口红,350,2024-04-01 10:30:15,阿玛尼官方旗舰店,交易成功
2024040200080,小熊酸奶机,159,2024-04-02 15:15:42,小熊官方旗舰店,交易成功
2024040300081,百威啤酒,68,2024-04-03 09:00:21,百威官方旗舰店,交易成功
2024040400082,华为平板,2499,2024-04-04 14:45:33,华为官方旗舰店,交易成功
2024040500083,太平鸟衬衫,359,2024-04-05 11:30:18,太平鸟官方旗舰店,交易成功
2024040600084,三只松鼠核桃,78,2024-04-06 16:15:40,三只松鼠旗舰店,交易成功
2024040700085,Bose耳机,1799,2024-04-07 10:00:25,Bose官方旗舰店,交易成功
2024040800086,MUJI文具套装,88,2024-04-08 13:45:12,无印良品官方旗舰店,交易成功
2024040900087,康师傅冰红茶,36,2024-04-09 09:30:33,康师傅旗舰店,交易成功
2024041000088,戴尔显示器,1299,2024-04-10 15:15:20,戴尔官方旗舰店,交易成功
2024041100089,ZARA外套,599,2024-04-11 11:00:11,ZARA官方旗舰店,交易成功
2024041200090,奥利奥饼干,26,2024-04-12 14:45:28,奥利奥官方旗舰店,交易成功
2024041300091,小米扫地机器人,1499,2024-04-13 10:30:15,小米官方旗舰店,交易成功
2024041400092,优衣库衬衫,199,2024-04-14 16:15:42,优衣库官方旗舰店,交易成功
2024041500093,三全水饺,28,2024-04-15 09:00:21,三全官方旗舰店,交易成功
2024041600094,海尔冰箱,3999,2024-04-16 13:45:33,海尔官方旗舰店,交易成功
2024041700095,耐克篮球鞋,799,2024-04-17 11:30:18,耐克官方旗舰店,交易成功
2024041800096,旺旺大礼包,99,2024-04-18 15:15:40,旺旺官方旗舰店,交易成功
2024041900097,Apple iPad,3299,2024-04-19 10:00:25,Apple官方旗舰店,交易成功
2024042000098,HM牛仔裤,249,2024-04-20 14:45:12,HM官方旗舰店,交易成功
2024042100099,德芙巧克力,45,2024-04-21 09:30:33,德芙官方旗舰店,交易成功
2024042200100,雷蛇鼠标,399,2024-04-22 16:15:20,雷蛇官方旗舰店,交易成功
